unit ID,Capacity(MW),utilization hour (h),coal consumption (g coal/KWh),power consumption rate (%),actual
1,110,2069.12,266.07,6.91,1838.5437
2,160,5509.22,292.7,6.91,2022.557
3,160,3562.79,293.35,6.91,2027.0485
4,160,5684.12,284.88,6.91,1968.5208
5,220,2231.35,323.08,8.54,2759.1032
6,220,3255.01,321.72,8.54,2747.4888
7,220,5361.12,317.13,8.54,2708.2902
8,220,4752.73,320.21,8.54,2734.5934
9,150,1598.25,344.47,5.91,2035.8177
10,150,3369.59,311.45,5.91,1840.6695
11,315,5786.89,283.32,5.91,1674.4212
12,315,5676.96,292.42,5.91,1728.2022
13,145,3938.84,246.27,5.38,1324.9326
14,145,4769.08,277.92,5.38,1495.2096
15,335,5288.46,266.97,5.38,1436.2986
16,335,4807.65,281.59,5.38,1514.9542
17,140,1808.09,294.58,5.93,1746.8594
18,140,3294.85,277.32,5.93,1644.5076
19,140,3852.32,292.68,5.93,1735.5924
20,140,3077.6,293.38,5.93,1739.7434
21,350,4485.47,275.45,5.93,1633.4185
22,350,5478.45,277.14,5.93,1643.4402
23,300,5203.77,305.44,5.68,1734.8992
24,300,5882.75,306.77,5.68,1742.4536
25,330,3421.85,310.19,3.54,1098.0726
26,330,3463.49,323.36,3.54,1144.6944
27,1030,4509.91,272.4,3.54,964.296
28,1030,4423.07,261.31,3.54,925.0374
29,330,1760.08,321.5,5.36,1723.24
30,330,2463.11,323.56,5.36,1734.2816
31,660,5420.44,273.71,5.36,1467.0856
32,660,5433.73,270.23,5.36,1448.4328
33,350,4823.98,275.98,4.48,1236.3904
34,330,4423.62,249.82,4.48,1119.1936
35,330,4240.16,249.02,4.48,1115.6096
36,350,5251.85,277.14,4.48,1241.5872
37,315,3545.24,326.14,6.76,2204.7064
38,315,3664.48,325.79,6.76,2202.3404
39,315,4974.6,341.04,6.76,2305.4304
40,315,3596.42,344.66,6.76,2329.9016
41,330,3384.92,302.68,6.76,2046.1168
42,330,4957.84,298.96,6.76,2020.9696
43,320,4910.27,278.29,5.53,1538.9437
44,320,4449.49,260.33,5.53,1439.6249
45,300,5082.94,288.84,5.53,1597.2852
46,330,3763.17,290.4,5.53,1605.912
47,350,4261.61,269.29,4.38,1179.4902
48,350,4563.14,263.9,4.38,1155.882
49,335,3358.36,294.39,6.44,1895.8716
50,335,4895.49,285.84,6.44,1840.8096
51,335,3824.99,315.5,6.44,2031.82
52,335,2130.48,315.69,6.44,2033.0436
53,600,2996.33,307.03,6.44,1977.2732
54,600,4815.9,304.5,6.44,1960.98
55,1000,5680.01,285.63,6.44,1839.4572
56,1000,5140.55,277.81,6.44,1789.0964
57,330,5144.46,250.11,5.08,1270.5588
58,320,5022.69,310.13,5.08,1575.4604
59,330,4776.42,311.61,5.08,1582.9788
60,320,4212.58,312.82,5.08,1589.1256
61,700,5403.36,313.94,5.08,1594.8152
62,700,4397.21,314.45,5.08,1597.406
63,300,5715.2,331.26,6.13,2030.6238
64,300,4871.04,326.86,6.13,2003.6518
65,330,4903.84,303.63,6.13,1861.2519
66,330,4407.31,302.62,6.13,1855.0606
67,330,3499.36,298.37,4.9,1462.013
68,330,3118.21,274.91,4.9,1347.059
69,670,4248.85,286.01,4.9,1401.449
70,670,5407.06,270.4,4.9,1324.96
71,320,4438.44,313.42,5.09,1595.3078
72,320,4438.44,313.42,3.62,1134.5804
73,320,5258.91,312.11,5.09,1588.6399
74,320,5258.91,312.11,3.62,1129.8382
75,680,4817.44,278.08,5.09,1415.4272
76,680,4817.44,278.08,3.62,1006.6496
77,680,4599.82,270.13,5.09,1374.9617
78,680,4599.82,270.13,5.09,1374.9617
79,300,2403.5,316.45,7.56,2392.362
80,300,3728.14,316.99,7.56,2396.4444
81,300,4920.15,313.67,7.56,2371.3452
82,300,4236.28,314.21,7.56,2375.4276
83,350,4499.16,298.94,3.86,1153.9084
84,350,4544.72,299.88,3.86,1157.5368
85,680,4592.09,285.87,3.86,1103.4582
86,680,4242.23,280.94,3.86,1084.4284
87,330,5002.85,300.79,5.21,1567.1159
88,330,5302.4,302.87,5.21,1577.9527
89,330,4375.39,314.96,6.15,1937.004
90,330,4630.51,311.2,6.15,1913.88
91,350,4525.72,281.46,3.52,990.7392
92,350,4012.45,271.69,3.52,956.3488
93,670,5515.03,287.72,3.86,1110.5992
94,670,3664.37,295.42,3.86,1140.3212
95,600,5658.83,310.05,4.74,1469.637
96,600,3207.39,310.1,4.74,1469.874
97,600,4621.07,292.7,4.74,1387.398
98,600,4543.67,293,4.74,1388.82
99,650,4582.6,282.31,4.07,1149.0017
100,650,4426.67,284.6,4.07,1158.322
101,670,4303.04,273.4,3.45,943.23
102,670,5622.75,268.89,3.45,927.6705
103,660,4412.12,288.66,5.02,1449.0732
104,1050,5185.39,288.55,3.8,1096.49
105,1050,5185.39,288.55,4.24,1223.452
106,1050,4968.95,288.26,3.8,1095.388
107,1050,4968.95,288.26,4.24,1222.2224
108,1000,4899.13,268.74,3.8,1021.212
109,1000,4899.13,268.74,4.24,1139.4576
110,1000,5769.09,264.44,3.8,1004.872
111,1000,5769.09,264.44,4.24,1121.2256
112,1010,4573,273.13,4,1092.52
113,1010,6294.72,272.8,4,1091.2
114,1000,5172.85,270.57,3.08,833.3556
115,60,3318,63,0,0
116,12,3799,271,0,0
117,49,3724,141,6.33,892.53
118,24,3810,409,21.02,8597.18
119,96,9258,274,9.26,2537.24
120,85,4553,325,6.29,2044.25
121,12,1796,285,6.26,1784.1
122,12,497,124,4.36,540.64
123,12,497,124,1.14,141.36
124,6,1301,149,4.36,649.64
125,6,1301,149,1.14,169.86
126,24,3160,468,31.98,14966.64
127,330,1777,356,8.48,3018.88
128,39,3317,277,13.44,3722.88
129,60,7692,249,7.09,1765.41
130,60,7692,249,15,3735
131,60,7692,249,12.18,3032.82
132,285,4521,320,7.09,2268.8
133,285,4521,320,15,4800
134,285,4521,320,12.18,3897.6
135,110,1880,253,11.93,3018.29
136,125,3282,214,8.31,1778.34
137,50,2553,150,17.17,2575.5
138,33,2669,315,6.83,2151.45
139,27,931,277,7.65,2119.05
140,42,4243,226,24.87,5620.62
141,6,389,271,7.01,1899.71
142,120,2957,255,0,0
143,120,2957,255,12.64,3223.2
144,18,4650,326,17.11,5577.86
145,12,6059,355,18.58,6595.9
146,52,413,286,4.17,1192.62
147,6,970,311,2.16,671.76
148,47,2468,118,9.24,1090.32
149,30,3531,74,3.61,267.14
150,30,3531,74,8.72,645.28
151,30,3531,74,4.07,301.18
152,30,6260,231,3.61,833.91
153,30,6260,231,8.72,2014.32
154,30,6260,231,4.07,940.17
155,15,1776,256,3.61,924.16
156,15,1776,256,8.72,2232.32
157,15,1776,256,4.07,1041.92
158,18,2674,252,3.61,909.72
159,18,2674,252,2.08,524.16
160,37,1583,254,3.61,916.94
161,37,1583,254,2.08,528.32
162,300,5242,336,10.39,3491.04
163,158,3260,275,5.3,1457.5
164,200,5419,386,12.97,5006.42
165,48,857,446,14.64,6529.44
166,300,5498,344,8.7,2992.8
167,180,4328,414,10.21,4226.94
168,114,848,525,26.56,13944
169,270,4851,418,7.86,3285.48
170,24,2134,514,24.94,12819.16
171,61,3264,617,37.55,23168.35
172,24,8335,394,0,0
173,24,8335,394,3.33,1312.02
174,36,1523,406,14.2,5765.2
175,15,2950,327,3.92,1281.84
176,74,6468,604,36.18,21852.72
177,42,6626,348,3.59,1249.32
178,10.5,3409,228,3.73,850.44
179,60,2651,617,20.31,12531.27
180,250,3237,295,9.25,2728.75
181,12,5207,348,17.43,6065.64
182,27,3277,276,9.89,2729.64
183,33,1131,236,3.53,833.08
184,48,420,314,9.68,3039.52
185,37,2978,289,11.1,3207.9
186,37,2978,289,9.84,2843.76
187,6,7352,292,11.1,3241.2
188,6,7352,292,9.84,2873.28
189,15,513,172,17.29,2973.88
190,43.5,2526,137,6.06,830.22
191,43.5,2526,137,25.33,3470.21
192,43.5,2526,137,16.15,2212.55
193,36,2796,158,6.06,957.48
194,36,2796,158,25.33,4002.14
195,36,2796,158,16.15,2551.7
196,12,934,226,6.06,1369.56
197,12,934,226,25.33,5724.58
198,12,934,226,16.15,3649.9
199,24,4666,273,5.33,1455.09
200,7,6684,363,6,2178
201,6,2730,345,9.71,3349.95
202,12,329,300,0,0
203,12,329,300,16.03,4809
204,24,5876,408,11.83,4826.64
205,21,1478,417,6.27,2614.59
206,21,1478,417,6.39,2664.63
207,6,1629,416,6.27,2608.32
208,6,1629,416,6.39,2658.24
209,60,3840,325,8.95,2908.75
210,270,5168,271,10.32,2796.72
211,79,2465,505,5.02,2535.1
212,60,2547,413,12.88,5319.44
213,30,3198,553,20,11060
214,45,4861,444,9.92,4404.48
215,30,1068,209,8.79,1837.11
216,45,3466,369,14.96,5520.24
217,300,4295,268,14.12,3784.16
218,25,1055,329,8.87,2918.23
219,25,1055,329,8.51,2799.79
220,25,1055,329,8.69,2859.01
221,150,4055,405,8.87,3592.35
222,150,4055,405,8.51,3446.55
223,150,4055,405,8.69,3519.45
224,50,63,328,8.87,2909.36
225,50,63,328,8.51,2791.28
226,50,63,328,8.69,2850.32
227,30,1287,371,19.2,7123.2
228,30,4237,293,9.42,2760.06
229,30,2086,287,8.85,2539.95
230,48,4912,250,10.5,2625
231,15,4402,306,9.57,2928.42
232,15,4402,306,5.03,1539.18
233,50,2762,234,9.57,2239.38
234,50,2762,234,5.03,1177.02
235,30,6640,466,11.05,5149.3
236,30,6640,466,0,0
237,42,4871,207,16,3312
238,15,3408,407,9.19,3740.33
239,25,6486,73,5.33,389.09
240,98,1457,161,3.99,642.39
241,48,2290,245,7.26,1778.7
242,74,2840,291,5.26,1530.66
243,60,5800,266,10.41,2769.06
244,12,8327,145,1.96,284.2
245,30,3900,130,3.77,490.1
246,171,3583,347,6.24,2165.28
247,171,3583,347,10.6,3678.2
248,350,1265,392,6.24,2446.08
249,350,1265,392,10.6,4155.2
250,350,1265,392,6.24,2446.08
251,350,1265,392,10.6,4155.2
252,318,4508,170,18.76,3189.2
253,318,4508,170,10,1700
254,310,481,224,18.76,4202.24
255,310,481,224,10,2240
256,211,5242,290,6.67,1934.3
257,45,2085,259,13.05,3379.95
258,51,4313,286,4.79,1369.94
259,15,3374,395,38.82,15333.9
260,15,3374,395,6.34,2504.3
261,15,3374,395,5.22,2061.9
262,350,4538,300,38.82,11646
263,350,4538,300,6.34,1902
264,350,4538,300,5.22,1566
265,350,4538,300,38.82,11646
266,350,4538,300,6.34,1902
267,350,4538,300,5.22,1566
268,350,5662,302,38.82,11723.64
269,350,5662,302,6.34,1914.68
270,350,5662,302,5.22,1576.44
271,350,5662,302,38.82,11723.64
272,350,5662,302,6.34,1914.68
273,350,5662,302,5.22,1576.44
274,39,1498,224,17,3808
275,60,5847,320,6.18,1977.6
276,42,2386,270,2.08,561.6
277,92.5,5343,351,10.4,3650.4
278,6,8121,304,5.14,1562.56
279,30,3163,349,5.94,2073.06
280,27,2986,212,4.3,911.6
281,18,4539,310,9.02,2796.2
282,69,1844,290,8.52,2470.8
283,75,4521,327,13.55,4430.85
284,12,1556,386,13.06,5041.16
285,21,1836,167,6.33,1057.11
286,18,601,378,7.53,2846.34
287,12,1508,308,7.89,2430.12
288,42,3462,154,5.97,919.38
289,21,2482,237,8.84,2095.08
290,27,2082,275,7.99,2197.25
291,120,5981,323,16.13,5209.99
292,12,3311,473,49.88,23593.24
293,18,2372,246,2.55,627.3
294,6,2052,323,21.24,6860.52
295,30,1289,374,8.11,3033.14
296,24,1895,271,6.71,1818.41
297,36,1631,212,3.88,822.56
298,30,2675,297,9.08,2696.76
299,30,3488,251,5.84,1465.84
300,27,3564,342,10.19,3484.98
301,24,3690,212,9.23,1956.76
302,37,3027,313,8.97,2807.61
303,6,4156,300,17.27,5181
304,24,1174,246,9.01,2216.46
305,6,4669,96,1.96,188.16
306,15,1353,259,46.86,12136.74
307,15,1353,259,12.17,3152.03
308,15,3252,271,46.86,12699.06
309,15,3252,271,12.17,3298.07
310,178,5133,410,6.76,2771.6
311,30,1617,316,13.96,4411.36
312,30,5673,276,5.74,1584.24
313,30,3033,389,8.77,3411.53
314,300,3174,367,9.7,3559.9
315,35,2475,143,5.2,743.6
316,37.5,3017,192,5.49,1054.08
317,12,4299,504,35.67,17977.68
318,109,3039,202,6.19,1250.38
319,42,1092,189,5.4,1020.6
320,329,3637,255,7.5,1912.5
321,50,5400,192,4.72,906.24
322,35,3726,169,6.48,1095.12
323,35,3726,169,5.45,921.05
324,49,3799,187,6.48,1211.76
325,49,3799,187,5.45,1019.15
326,6,4711,647,16.59,10733.73
327,15,2632,299,7.25,2167.75
328,18,2853,363,3.28,1190.64
329,60,2638,259,0,0
330,60,2638,259,7.43,1924.37
331,60,2638,259,4.92,1274.28
332,80,8093,267,0,0
333,80,8093,267,7.43,1983.81
334,80,8093,267,4.92,1313.64
335,60,3621,354,20,7080
336,12,3511,238,5.61,1335.18
337,6,646,296,13.47,3987.12
338,18,3258,374,12.94,4839.56
339,37,3107,177,5.75,1017.75
340,30,9647,276,13.11,3618.36
341,308,5900,262,5.22,1367.64
342,310,5468,277,6.24,1728.48
343,110,2871,453,8,3624
344,16,3335,331,9.64,3190.84
345,24,3242,260,4.4,1144
346,6,1858,255,7.2,1836
347,6,1858,255,6.54,1667.7
348,39,3758,227,7.2,1634.4
349,39,3758,227,6.54,1484.58
350,20,1100,360,6,2160
351,48,243,339,7.76,2630.64
352,24,2817,224,14.17,3174.08
353,21,1647,358,6.12,2190.96
354,24,719,258,16.51,4259.58
355,55,4445,270,14.91,4025.7
356,49,7834,260,4.52,1175.2
357,12,972,281,9.25,2599.25
358,60,4777,234,6.58,1539.72
359,39,3424,355,5.52,1959.6
360,300,5417,251,10.5,2635.5
361,56,5284,379,17.53,6643.87
362,60,2491,447,7.69,3437.43
363,42,4984,255,0,0
364,24,2248,243,4.25,1032.75
365,48,1141,430,9.42,4050.6
366,48,1141,430,5.69,2446.7
367,350,3616,297,9.42,2797.74
368,350,3616,297,5.69,1689.93
369,73,5010,324,3.94,1276.56
370,73,5010,324,3.07,994.68
371,24,3296,271,3.94,1067.74
372,24,3296,271,3.07,831.97
373,24,5255,360,2.13,766.8
374,65,3144,333,1.74,579.42
375,24,5457,233,22.49,5240.17
376,110,4190,335,8.96,3001.6
377,69,4134,267,6.18,1650.06
378,68,7466,278,7.62,2118.36
379,75,5506,347,9.36,3247.92
380,36,1744,378,13.69,5174.82
381,68,4759,343,9.21,3159.03
382,25,3384,408,11.73,4785.84
383,18,6572,338,7.59,2565.42
384,75,4970,316,9.88,3122.08
385,395,6217,334,9.04,3019.36
386,152,5113,302,10.56,3189.12
387,50,3106,423,14.63,6188.49
388,108,5898,339,10.56,3579.84
389,48,4250,296,10.52,3113.92
390,200,1674,293,8.97,2628.21
391,12,395,315,15.1,4756.5
392,50,4316,363,9.89,3590.07
393,21,3784,319,8.09,2580.71
394,6,383,239,4.46,1065.94
395,6,1606,360,25.25,9090
396,15,2172,257,29.16,7494.12
397,24,3178,267,11.57,3089.19
398,90,398,428,57.75,24717
399,360,778,191,6.59,1258.69
400,30,2133,504,8.78,4425.12
401,15,8614,714,8.1,5783.4
402,15,8614,714,17.6,12566.4
403,12,1800,424,8.1,3434.4
404,12,1800,424,17.6,7462.4
405,60,4542,178,7.65,1361.7
406,11,1620,300,15.29,4587
407,12,4461,336,3.75,1260
408,30,7112,126,5.73,721.98
409,43,1528,308,10.39,3200.12
410,12,362,305,1.21,369.05
411,12,3654,295,6.83,2014.85
412,24,5441,298,9.17,2732.66
413,25,6037,171,21.75,3719.25
414,90,7577,129,2.77,357.33
415,20,5135,334,10.26,3426.84
416,55,2493,352,15.22,5357.44
417,9,4627,308,24.61,7579.88
418,24,5250,264,8.99,2373.36
419,9,5994,409,23.55,9631.95
420,10,5437,664,10,6640
421,69,2149,169,4.27,721.63
422,79,2151,353,7.96,2809.88
423,40,2911,183,5.3,969.9
424,6,2360,288,9.69,2790.72
425,20,607,404,3.33,1345.32
426,15,5687,252,37.97,9568.44
427,30,3268,183,13.88,2540.04
428,30,5822,226,23.3,5265.8
429,12,6298,337,7.94,2675.78
430,15,3716,138,22.1,3049.8
431,18,5085,263,10.06,2645.78
432,75,7770,188,8.54,1605.52
433,75,4649,206,4.09,842.54
434,30,5644,418,20.5,8569
435,12,5041,265,4.37,1158.05
436,6,3137,291,25.91,7539.81
437,12,4507,290,6.91,2003.9
438,80,2045,195,33.58,6548.1
439,50,5665,229,0,0
440,40,2805,248,8.57,2125.36
441,48,1362,394,18.73,7379.62
442,262,5244,217,6.12,1328.04
443,100,1177,486,25.3,12295.8
444,75,4493,272,15.32,4167.04
445,660,5395,289,5.38,1554.82
446,660,5395,289,5.38,1554.82
447,660,5395,289,5.38,1554.82
448,660,5395,289,5.38,1554.82
449,660,5395,289,5.38,1554.82
450,660,5395,289,5.38,1554.82
451,660,5395,289,5.38,1554.82
452,660,5395,289,5.38,1554.82
453,330,5395,289,5.38,1554.82
454,330,5395,289,5.38,1554.82
455,330,5395,289,5.38,1554.82
456,330,5395,289,5.38,1554.82
457,330,5395,289,5.38,1554.82
458,330,5395,289,5.38,1554.82
459,330,5395,289,5.38,1554.82
460,330,5395,289,5.38,1554.82
461,330,5395,289,5.38,1554.82
462,330,5395,289,5.38,1554.82
463,330,5395,289,5.38,1554.82
464,330,5395,289,5.38,1554.82
465,330,5395,289,5.38,1554.82
466,330,5395,289,5.38,1554.82
467,330,5395,289,5.38,1554.82
468,330,5395,289,5.38,1554.82
469,330,5395,289,5.38,1554.82
470,330,5395,289,5.38,1554.82
471,330,5395,289,5.38,1554.82
472,330,5395,289,5.38,1554.82
473,330,5395,289,5.38,1554.82
474,330,5395,289,5.38,1554.82
475,330,5395,289,5.38,1554.82
476,330,5395,289,5.38,1554.82
477,330,5395,289,5.38,1554.82
478,330,5395,289,5.38,1554.82
479,330,5395,289,5.38,1554.82
480,330,5395,289,5.38,1554.82
481,330,5395,289,5.38,1554.82
482,330,5395,289,5.38,1554.82
483,330,5395,289,5.38,1554.82
484,330,5395,289,5.38,1554.82
485,330,5395,289,5.38,1554.82
486,330,5395,289,5.38,1554.82
487,330,5395,289,5.38,1554.82
488,330,3914,320,7.24,2316.8
489,330,3914,320,7.24,2316.8
490,220,3172,310,7.52,2331.2
491,220,3172,310,6.88,2132.8
492,220,3172,310,7.52,2331.2
493,220,3172,310,6.88,2132.8
494,300,6201,313,7.52,2353.76
495,300,6201,313,6.88,2153.44
496,300,6201,313,7.52,2353.76
497,300,6201,313,6.88,2153.44
498,600,4849,305,4.89,1491.45
499,600,4849,305,4.89,1491.45
500,660,5901,262,6,1572
501,660,5901,262,6,1572
502,660,5901,262,6,1572
503,660,5901,262,6,1572
504,660,5901,262,6,1572
505,660,5901,262,6,1572
506,700,5901,262,6,1572
507,700,5901,262,6,1572
508,700,5901,262,6,1572
509,1000,5384,289,6.15,1777.35
510,1000,5384,289,6.15,1777.35
511,350,1654,347,5.9,2047.3
512,350,1654,347,5.9,2047.3
513,145,3826,267,9.09,2427.03
514,145,3826,267,9.09,2427.03
515,145,3826,267,9.09,2427.03
516,145,3826,267,9.09,2427.03
517,220,4431,313,5.92,1852.96
518,220,4431,313,5.92,1852.96
519,135,3617,314,6.41,2012.74
520,135,3617,314,6.41,2012.74
521,135,3617,314,6.41,2012.74
522,135,3617,314,6.41,2012.74
523,330,3617,314,6.41,2012.74
524,330,3617,314,6.41,2012.74
525,600,4433,318,4.98,1583.64
526,600,4433,318,4.98,1583.64
527,140,3910,275,5.06,1391.5
528,140,3910,275,5.06,1391.5
529,330,3910,275,5.06,1391.5
530,330,3910,275,5.06,1391.5
531,350,4522,314,4.59,1441.26
532,350,4522,314,4.59,1441.26
533,300,6262,318,5.43,1726.74
534,300,6262,318,5.43,1726.74
535,150,7232,279,9.25,2580.75
536,150,7232,279,9.25,2580.75
537,220,7232,279,9.25,2580.75
538,220,7232,279,9.25,2580.75
539,330,7232,279,9.25,2580.75
540,330,7232,279,9.25,2580.75
541,330,7232,279,9.25,2580.75
542,350,3855,319,7.79,2485.01
543,350,3855,319,7.79,2485.01
544,330,4548,280,6.44,1803.2
545,330,4548,280,6.44,1803.2
546,350,4961,257,4.77,1225.89
547,350,4961,257,4.77,1225.89
548,350,2610,313,3.4,1064.2
549,350,2610,313,3.4,1064.2
